sourceKey,transactionType,taxType,taxCode,taxDescription,taxRate,taxExempt,taxAlias,atc,officialAtcCode,natureOfIncome,sortOrder,status
PH-TAX-0001,Purchases,EWT,WB 030,WB 030 | Tax on carriers and keepers of garages,3,,,WB 030,WB 030,Tax on carriers and keepers of garages,,ACTIVE
PH-TAX-0002,Purchases,INPUT VAT,V3,Services,12,,,,,,60,ACTIVE
PH-TAX-0003,Sales,CWT,W0,Withholding Tax 0%,0,,,0,,,,ACTIVE
PH-TAX-0004,Importation,INPUT VAT,D0,Domestic Purchase of Goods,12,,,,,,,ACTIVE
PH-TAX-0005,Sales,WVAT,W0,Withholding Vatable Tax 0%,0,,,,,,,ACTIVE
PH-TAX-0006,Purchases,EWT,WI 840,"WI 840 | Income payments made by top withholding agents either private corporations or individuals, to the manufacturers and direct importers of motor vehicles in Completely Built Units (CBUs) or Semi-Knockdown (SKD) units, motor vehicle parts and accessories",0.5,,,WI 840,WI 840,"Income payments made by top withholding agents either private corporations or individuals, to the manufacturers and direct importers of motor vehicles in Completely Built Units (CBUs) or Semi-Knockdown (SKD) units, motor vehicle parts and accessories",,ACTIVE
PH-TAX-0007,Purchases,EWT,WC 840,"WC 840 | Income payments made by top withholding agents either private corporations or individuals, to the manufacturers and direct importers of motor vehicles in Completely Built Units (CBUs) or Semi-Knockdown (SKD) units, motor vehicle parts and accessories",0.5,,,WC 840,WC 840,"Income payments made by top withholding agents either private corporations or individuals, to the manufacturers and direct importers of motor vehicles in Completely Built Units (CBUs) or Semi-Knockdown (SKD) units, motor vehicle parts and accessories",,ACTIVE
PH-TAX-0008,Purchases,EWT,WI 850,"WI 850 | Income payments made by top withholding agents, either private corporations or individuals, to the manufacturers and direct importers of medicine/pharmaceutical products",0.5,,,WI 850,WI 850,"Income payments made by top withholding agents, either private corporations or individuals, to the manufacturers and direct importers of medicine/pharmaceutical products",,ACTIVE
PH-TAX-0009,Purchases,EWT,WC 850,"WC 850 | Income payments made by top withholding agents, either private corporations or individuals, to the manufacturers and direct importers of medicine/pharmaceutical products",0.5,,,WC 850,WC 850,"Income payments made by top withholding agents, either private corporations or individuals, to the manufacturers and direct importers of medicine/pharmaceutical products",,ACTIVE
PH-TAX-0010,Purchases,EWT,WC 860,"WC 860 | Income payments made by top withholding agents, either private corporations or individuals, to the manufacturers and direct importers of solid or liquid fuels and related products",0.5,,,WC 860,WC 860,"Income payments made by top withholding agents, either private corporations or individuals, to the manufacturers and direct importers of solid or liquid fuels and related products",,ACTIVE
PH-TAX-0011,Purchases,EWT,WI 860,"WI 860 | Income payments made by top withholding agents, either private corporations or individuals, to the manufacturers and direct importers of solid or liquid fuels and related products",0.5,,,WI 860,WI 860,"Income payments made by top withholding agents, either private corporations or individuals, to the manufacturers and direct importers of solid or liquid fuels and related products",,ACTIVE
PH-TAX-0012,Sales,OUTPUT VAT,V1,Output VAT,12,,,,,,10,ACTIVE
PH-TAX-0013,Sales,OUTPUT VAT,V0,VAT Exempt,0,TRUE,,,,,20,ACTIVE
PH-TAX-0014,Sales,CWT,W0.5,Withholding Tax 0.5%,0.5,,,W0.5,,,,ACTIVE
PH-TAX-0015,Sales,WVAT,W1,Withholding Vatable Tax 1%,1,,,,,,,ACTIVE
PH-TAX-0016,Importation,INPUT VAT,D1,Domestic Purchase of Services,12,,,,,,,ACTIVE
PH-TAX-0017,Sales,CWT,W1,Withholding Tax 1%,1,,g,WC 158,WC 158,Purchase of local goods,,ACTIVE
PH-TAX-0018,Purchases,INPUT VAT,V4,Capital Goods,12,,,,,,40,ACTIVE
PH-TAX-0019,Purchases,EWT,WB 040,WB 040 | Franchise Tax on Gas and Water Utilities,2,,,WB 040,WB 040,Franchise Tax on Gas and Water Utilities,,ACTIVE
PH-TAX-0020,Purchases,EWT,WB 050,WB 050 | Franchise Tax on radio & TV broadcasting companies whose annual gross receipts does not exceed P10M and who are not Value-Added Tax registered taxpayers,3,,,WB 050,WB 050,Franchise Tax on radio & TV broadcasting companies whose annual gross receipts does not exceed P10M and who are not Value-Added Tax registered taxpayers,,ACTIVE
PH-TAX-0021,Purchases,INPUT VAT,V5,Other than Capital Goods,12,,,,,,50,ACTIVE
PH-TAX-0022,Sales,CWT,W2,Withholding Tax 2%,2,,s,WC 120,WC 120,Prime contractor/subcontractors (supplier of services),,ACTIVE
PH-TAX-0023,Importation,INPUT VAT,D2,Importation of Goods,12,,,,,,,ACTIVE
PH-TAX-0024,Sales,WVAT,W2,Withholding Vatable Tax 2%,2,,,,,,,ACTIVE
PH-TAX-0025,Sales,OUTPUT VAT,V2,Zero Rated,0,,,,,,30,ACTIVE
PH-TAX-0026,Sales,WVAT,W5,Withholding Vatable Tax 5%,5,,,,,,,ACTIVE
PH-TAX-0027,Importation,INPUT VAT,D3,Domestic Purchase of Goods,12,,,,,,,ACTIVE
PH-TAX-0028,Sales,CWT,W5,Withholding Tax 5%,5,,r,WC 100,WC 100,Rental Fees,,ACTIVE
PH-TAX-0029,Purchases,INPUT VAT,V0,VAT Exempt,0,TRUE,,,,,30,ACTIVE
PH-TAX-0030,Purchases,EWT,WB 070,WB 070 | Tax on life insurance premiums,5,,,WB 070,WB 070,Tax on life insurance premiums,,ACTIVE
PH-TAX-0031,Purchases,EWT,WB 080,WB 080 | Person exempt from VAT under Sec. 109 (v) (Government withholding agent),3,,,WB 080,WB 080,Person exempt from VAT under Sec. 109 (v) (Government withholding agent),,ACTIVE
PH-TAX-0032,Purchases,INPUT VAT,V2,Zero Rated,0,,,,,,20,ACTIVE
PH-TAX-0033,Importation,INPUT VAT,V1,VAT Exempt,0,TRUE,,,,,,ACTIVE
PH-TAX-0034,Sales,WVAT,W10,Withholding Vatable Tax 10%,10,,,,,,,ACTIVE
PH-TAX-0035,Sales,CWT,W7,Withholding Tax 7%,7,,,WB 104,WB 104,"On net trading gains within the taxable year on foreign currency,debt securities, derivatives, and other financial instruments",,ACTIVE
PH-TAX-0036,Importation,INPUT VAT,V0,Zero-rated,0,,,,,,,ACTIVE
PH-TAX-0037,Sales,CWT,W10,Withholding Tax 10%,10,,,WC 140,WC 140,"Professional/talent fees paid to juridical persons/individuals (lawyers, CPAs, etc.)",,ACTIVE
PH-TAX-0038,Purchases,EWT,WB 082,WB 082 | Person exempt from VAT under Sec. 109 (v) (Private withholding agent),3,,,WB 082,WB 082,Person exempt from VAT under Sec. 109 (v) (Private withholding agent),,ACTIVE
PH-TAX-0039,Purchases,EWT,WB 084,WB 084 | Person exempt from VAT under Sec. 109 (v),3,,,WB 084,WB 084,Person exempt from VAT under Sec. 109 (v),,ACTIVE
PH-TAX-0040,Sales,CWT,W15,Withholding Tax 15%,15,,,WC015,WC 015,"Professional (Lawyers, CPAs, Engineers, etc.) - If gross income exceeds P720,000",,ACTIVE
PH-TAX-0041,Purchases,EWT,WB 090,"WB 090 | Tax on Overseas Dispatch, Message or Conversation originating from the Phils",10,,,WB 090,WB 090,"Tax on Overseas Dispatch, Message or Conversation originating from the Phils",,ACTIVE
PH-TAX-0042,Sales,CWT,W25,Withholding Tax 25%,25,,,WC 230,WC 230,All Others - On other payments to NRFC,,ACTIVE
PH-TAX-0043,Purchases,EWT,WB 103,"WB 103 | Tax on Banks and Non-Bank Financial Intermediaries Performing Quasi-Banking Functions - Tax on royalties, rentals of property, real or personal, profits from exchange & all other items treated as gross income under Section 32 of the Code",7,,,WB 103,WB 103,"Tax on Banks and Non-Bank Financial Intermediaries Performing Quasi-Banking Functions - Tax on royalties, rentals of property, real or personal, profits from exchange & all other items treated as gross income under Section 32 of the Code",,ACTIVE
PH-TAX-0044,Purchases,EWT,WB 104,"WB 104 | On net trading gains within the taxable year on foreign currency,debt securities, derivatives, and other financial instruments",7,,,WB 104,WB 104,"On net trading gains within the taxable year on foreign currency,debt securities, derivatives, and other financial instruments",,ACTIVE
PH-TAX-0045,Purchases,EWT,WB 108,"WB 108 | Tax on Other Non-Banks Financial Intermediaries Not Performing Quasi-Banking Functions. On interest, commissions and discounts from lending activities as well as income from financial leasing, on the basis of the remaining maturities of instrument from which such receipts are derived - Maturity period is five years or less",5,,,WB 108,WB 108,"Tax on Other Non-Banks Financial Intermediaries Not Performing Quasi-Banking Functions. On interest, commissions and discounts from lending activities as well as income from financial leasing, on the basis of the remaining maturities of instrument from which such receipts are derived - Maturity period is five years or less",,ACTIVE
PH-TAX-0046,Purchases,EWT,WB 109,"WB 109 | Tax on Other Non-Banks Financial Intermediaries Not Performing Quasi-Banking Functions. On interest, commissions and discounts from lending activities as well as income from financial leasing, on the basis of the remaining maturities of instrument from which such receipts are derived - Maturity period is more than five years",1,,,WB 109,WB 109,"Tax on Other Non-Banks Financial Intermediaries Not Performing Quasi-Banking Functions. On interest, commissions and discounts from lending activities as well as income from financial leasing, on the basis of the remaining maturities of instrument from which such receipts are derived - Maturity period is more than five years",,ACTIVE
PH-TAX-0047,Purchases,EWT,WB 110,WB 110 | Tax on Other Non-Banks Financial Intermediaries Not Performing Quasi-Banking Functions. On all other items treated as gross income under the code,5,,,WB 110,WB 110,Tax on Other Non-Banks Financial Intermediaries Not Performing Quasi-Banking Functions. On all other items treated as gross income under the code,,ACTIVE
PH-TAX-0048,Purchases,EWT,WB 120,WB 120 | Business Tax on Agents of foreign insurance co. - insurance agents,10,,,WB 120,WB 120,Business Tax on Agents of foreign insurance co. - insurance agents,,ACTIVE
PH-TAX-0049,Purchases,EWT,WB 121,WB 121 | Business Tax on Agents of foreign insurance co. - owner of the property,5,,,WB 121,WB 121,Business Tax on Agents of foreign insurance co. - owner of the property,,ACTIVE
PH-TAX-0050,Purchases,EWT,WB 130,WB 130 | Tax on International Carriers,3,,,WB 130,WB 130,Tax on International Carriers,,ACTIVE
PH-TAX-0051,Purchases,EWT,WB 140,WB 140 | Tax on Cockpits,18,,,WB 140,WB 140,Tax on Cockpits,,ACTIVE
PH-TAX-0052,Purchases,EWT,WB 150,"WB 150 | Tax on Cabaret, night and day club",18,,,WB 150,WB 150,"Tax on Cabaret, night and day club",,ACTIVE
PH-TAX-0053,Purchases,EWT,WB 160,WB 160 | Tax on Boxing exhibitions,10,,,WB 160,WB 160,Tax on Boxing exhibitions,,ACTIVE
PH-TAX-0054,Purchases,EWT,WB 170,WB 170 | Tax on Professional basketball games,15,,,WB 170,WB 170,Tax on Professional basketball games,,ACTIVE
PH-TAX-0055,Purchases,EWT,WB 180,WB 180 | Tax on jai-alai and race tracks,30,,,WB 180,WB 180,Tax on jai-alai and race tracks,,ACTIVE
PH-TAX-0056,Purchases,EWT,WB 191,WB 191 | Tax on Winnings and Prizes (Sec. 126) - Government withholding agent,4,,,WB 191,WB 191,Tax on Winnings and Prizes (Sec. 126) - Government withholding agent,,ACTIVE
PH-TAX-0057,Purchases,EWT,WB 192,WB 192 | Tax on Winnings and Prizes on horse races/owners of winning horses (Sec. 126) - Government withholding agent,10,,,WB 192,WB 192,Tax on Winnings and Prizes on horse races/owners of winning horses (Sec. 126) - Government withholding agent,,ACTIVE
PH-TAX-0058,Purchases,EWT,WB 193,WB 193 | Tax on Winnings and Prizes (Sec. 126) - Private withholding agent,4,,,WB 193,WB 193,Tax on Winnings and Prizes (Sec. 126) - Private withholding agent,,ACTIVE
PH-TAX-0059,Purchases,EWT,WB 194,WB 194 | Tax on Winnings and Prizes on horse races/owners of winning horses (Sec. 126) - Private withholding agent,10,,,WB 194,WB 194,Tax on Winnings and Prizes on horse races/owners of winning horses (Sec. 126) - Private withholding agent,,ACTIVE
PH-TAX-0060,Purchases,EWT,WB 200,"WB 200 | Tax on sale, barter or exchange of stocks listed & traded through Local Stock Exchange",0.5,,,WB 200,WB 200,"Tax on sale, barter or exchange of stocks listed & traded through Local Stock Exchange",,ACTIVE
PH-TAX-0061,Purchases,EWT,WB 201,WB 201 | Tax on shares of stock sold or exchanged through initial and secondary public offering - Not over 25%,4,,,WB 201,WB 201,Tax on shares of stock sold or exchanged through initial and secondary public offering - Not over 25%,,ACTIVE
PH-TAX-0062,Purchases,EWT,WB 202,WB 202 | Tax on shares of stock sold or exchanged through initial and secondary public offering - Over 25% but not exceeding 33 1/3 %,2,,,WB 202,WB 202,Tax on shares of stock sold or exchanged through initial and secondary public offering - Over 25% but not exceeding 33 1/3 %,,ACTIVE
PH-TAX-0063,Purchases,EWT,WB 203,WB 203 | Tax on shares of stock sold or exchanged through initial and secondary public offering - Over 33 1/3%,1,,,WB 203,WB 203,Tax on shares of stock sold or exchanged through initial and secondary public offering - Over 33 1/3%,,ACTIVE
PH-TAX-0064,Purchases,EWT,WB 301,"WB 301 | Tax on Banks and Non-Bank Financial Intermediaries Performing Quasi-Banking Functions. On interest, commissions and discounts from lending activities well as income from financial leasing, on the basis of the remaining maturities of instrument from which such receipts are derived - Maturity period is five years or less",5,,,WB 301,WB 301,"Tax on Banks and Non-Bank Financial Intermediaries Performing Quasi-Banking Functions. On interest, commissions and discounts from lending activities well as income from financial leasing, on the basis of the remaining maturities of instrument from which such receipts are derived - Maturity period is five years or less",,ACTIVE
PH-TAX-0065,Purchases,EWT,WB 303,"WB 303 | Tax on Banks and Non-Bank Financial Intermediaries Performing Quasi-Banking Functions. On interest, commissions and discounts from lending activities well as income from financial leasing, on the basis of the remaining maturities of instrument from which such receipts are derived - Maturity period is more than five years",1,,,WB 303,WB 303,"Tax on Banks and Non-Bank Financial Intermediaries Performing Quasi-Banking Functions. On interest, commissions and discounts from lending activities well as income from financial leasing, on the basis of the remaining maturities of instrument from which such receipts are derived - Maturity period is more than five years",,ACTIVE
PH-TAX-0066,Purchases,EWT,WC 010,"WC 010 | Professional (Lawyers, CPAs, Engineers, etc.)",10,,,WC 010,WC 010,"Professional (Lawyers, CPAs, Engineers, etc.)",50,ACTIVE
PH-TAX-0067,Purchases,EWT,WC 011,"WC 011 | Professional (Lawyers, CPAs, Engineers, etc.)",15,,,WC 011,WC 011,"Professional (Lawyers, CPAs, Engineers, etc.)",50,ACTIVE
PH-TAX-0068,Purchases,EWT,WC 020,"WC 020 | Professional Entertainers Such as, but Not Limited to Actors and Actresses, Singers, Lyricists, Composers, Emcees - If the current year's gross income does not exceed P720,000.00",10,,,WC 020,WC 020,"Professional Entertainers Such as, but Not Limited to Actors and Actresses, Singers, Lyricists, Composers, Emcees - If the current year's gross income does not exceed P720,000.00",,ACTIVE
PH-TAX-0069,Purchases,EWT,WC 021,"WC 021 | Professional Entertainers Such as, but Not Limited to Actors and Actresses, Singers, Lyricists, Composers, Emcees - If the current year's gross income exceeds P720,000.00",15,,,WC 021,WC 021,"Professional Entertainers Such as, but Not Limited to Actors and Actresses, Singers, Lyricists, Composers, Emcees - If the current year's gross income exceeds P720,000.00",,ACTIVE
PH-TAX-0070,Purchases,EWT,WC 030,"WC 030 | Professional Athletes Including Basketball Players, Pelotaris and Jockeys - If the current year's gross income does not exceed P720,000.00",10,,,WC 030,WC 030,"Professional Athletes Including Basketball Players, Pelotaris and Jockeys - If the current year's gross income does not exceed P720,000.00",,ACTIVE
PH-TAX-0071,Purchases,EWT,WC 031,"WC 031 | Professional Athletes Including Basketball Players, Pelotaris and Jockeys - If the current year's gross income exceeds P720,000.00",15,,,WC 031,WC 031,"Professional Athletes Including Basketball Players, Pelotaris and Jockeys - If the current year's gross income exceeds P720,000.00",,ACTIVE
PH-TAX-0072,Purchases,EWT,WC 040,"WC 040 | All Directors and Producers Involved in Movies, Stage, Radio, Television and Musical Productions - If the current year's gross income does not exceed P720,000.00",10,,,WC 040,WC 040,"All Directors and Producers Involved in Movies, Stage, Radio, Television and Musical Productions - If the current year's gross income does not exceed P720,000.00",,ACTIVE
PH-TAX-0073,Purchases,EWT,WC 041,"WC 041 | All Directors and Producers Involved in Movies, Stage, Radio, Television and Musical Productions - If the current year's gross income exceeds P720,000.00",15,,,WC 041,WC 041,"All Directors and Producers Involved in Movies, Stage, Radio, Television and Musical Productions - If the current year's gross income exceeds P720,000.00",,ACTIVE
PH-TAX-0074,Purchases,EWT,WC 050,"WC 050 | Management and Technical Consultants - If the current year's gross income does not exceed P720,000.00",10,,,WC 050,WC 050,"Management and Technical Consultants - If the current year's gross income does not exceed P720,000.00",,ACTIVE
PH-TAX-0075,Purchases,EWT,WC 051,"WC 051 | Management and Technical Consultants - If the current year's gross income exceeds P720,000.00",15,,,WC 051,WC 051,"Management and Technical Consultants - If the current year's gross income exceeds P720,000.00",,ACTIVE
PH-TAX-0076,Purchases,EWT,WC 060,"WC 060 | Business and Bookkeeping Agents and Agencies - If the current year's gross income does not exceed P720,000.00",10,,,WC 060,WC 060,"Business and Bookkeeping Agents and Agencies - If the current year's gross income does not exceed P720,000.00",,ACTIVE
PH-TAX-0077,Purchases,EWT,WC 061,"WC 061 | Business and Bookkeeping Agents and Agencies - If the current year's gross income exceeds P720,000",15,,,WC 061,WC 061,"Business and Bookkeeping Agents and Agencies - If the current year's gross income exceeds P720,000",,ACTIVE
PH-TAX-0078,Purchases,EWT,WC 070,"WC 070 | Insurance Agents and Insurance Adjusters - If the current year's gross income does not exceed P720,000.00",10,,,WC 070,WC 070,"Insurance Agents and Insurance Adjusters - If the current year's gross income does not exceed P720,000.00",,ACTIVE
PH-TAX-0079,Purchases,EWT,WC 071,"WC 071 | Insurance Agents and Insurance Adjusters - If the current year's gross income exceeds P720,000",15,,,WC 071,WC 071,"Insurance Agents and Insurance Adjusters - If the current year's gross income exceeds P720,000",,ACTIVE
PH-TAX-0080,Purchases,EWT,WC 080,"WC 080 | Other Recipients of Talent Fees - If the current year's gross income does not exceed P720,000.00",10,,,WC 080,WC 080,"Other Recipients of Talent Fees - If the current year's gross income does not exceed P720,000.00",,ACTIVE
PH-TAX-0081,Purchases,EWT,WC 081,"WC 081 | Other Recipients of Talent Fees - If the current year's gross income exceeds P720,000",15,,,WC 081,WC 081,"Other Recipients of Talent Fees - If the current year's gross income exceeds P720,000",,ACTIVE
PH-TAX-0082,Purchases,EWT,WC 100,"WC 100 | Rentals : real/personal properties, poles,satellites and transmission facilities, billboards",5,,,WC 100,WC 100,"Rentals : real/personal properties, poles,satellites and transmission facilities, billboards",50,ACTIVE
PH-TAX-0083,Purchases,EWT,WC 110,WC 110 | Cinematographic Film Rentals,5,,,WC 110,WC 110,Cinematographic Film Rentals,,ACTIVE
PH-TAX-0084,Purchases,EWT,WC 120,WC 120 | Income Payments to Certain Contractors,2,,,WC 120,WC 120,Income Payments to Certain Contractors,50,ACTIVE
PH-TAX-0085,Purchases,EWT,WC 139,"WC 139 | Gross Commissions or Service Fees of Customs, Insurance, Stock, Immigration and Commercial Brokers, Fees of Agents of Professional Entertainers and Real Estate Service Practitioners (RESPs), (i.e. Real Estate Consultants, Real Estate Appraisers and Real Estate Brokers) - If the current year's gross income does not exceed P720,000",10,,,WC 139,WC 139,"Gross Commissions or Service Fees of Customs, Insurance, Stock, Immigration and Commercial Brokers, Fees of Agents of Professional Entertainers and Real Estate Service Practitioners (RESPs), (i.e. Real Estate Consultants, Real Estate Appraisers and Real Estate Brokers) - If the current year's gross income does not exceed P720,000",,ACTIVE
PH-TAX-0086,Purchases,EWT,WC 140,"WC 140 | Gross Commissions or Service Fees of Customs, Insurance, Stock, Immigration and Commercial Brokers, Fees of Agents of Professional Entertainers and Real Estate Service Practitioners (RESPs), (i.e. Real Estate Consultants, Real Estate Appraisers and Real Estate Brokers) - If the current year's gross income exceeds P720,000",15,,,WC 140,WC 140,"Gross Commissions or Service Fees of Customs, Insurance, Stock, Immigration and Commercial Brokers, Fees of Agents of Professional Entertainers and Real Estate Service Practitioners (RESPs), (i.e. Real Estate Consultants, Real Estate Appraisers and Real Estate Brokers) - If the current year's gross income exceeds P720,000",,ACTIVE
PH-TAX-0087,Purchases,EWT,WC 150,"WC 150 | Professional Fees Paid to Medical Practitioners (Includes Doctors of Medicine, Doctors of Veterinary Science and Dentists) by Hospitals and Clinics or Paid Directly by Health Maintenance Organizations (HMOs) and/or Similar Establishments - If the current year's gross income exceeds P720,000",15,,,WC 150,WC 150,"Professional Fees Paid to Medical Practitioners (Includes Doctors of Medicine, Doctors of Veterinary Science and Dentists) by Hospitals and Clinics or Paid Directly by Health Maintenance Organizations (HMOs) and/or Similar Establishments - If the current year's gross income exceeds P720,000",25,ACTIVE
PH-TAX-0088,Purchases,EWT,WC 151,"WC 151 | Professional Fees Paid to Medical Practitioners (Includes Doctors of Medicine, Doctors of Veterinary Science and Dentists) by Hospitals and Clinics or Paid Directly by Health Maintenance Organizations (HMOs) and/or Similar Establishments - If the current year's gross income does not exceed P720,000",10,,,WC 151,WC 151,"Professional Fees Paid to Medical Practitioners (Includes Doctors of Medicine, Doctors of Veterinary Science and Dentists) by Hospitals and Clinics or Paid Directly by Health Maintenance Organizations (HMOs) and/or Similar Establishments - If the current year's gross income does not exceed P720,000",25,ACTIVE
PH-TAX-0089,Purchases,EWT,WC 156,WC 156 | Income Payments Made by Credit Card Companies,0.5,,,WC 156,WC 156,Income Payments Made by Credit Card Companies,25,ACTIVE
PH-TAX-0090,Purchases,EWT,WC 157,WC 157 | Income Payments Made by the Government and Government-Owned and Controlled Corporations (GOCCS) to Its Local/Resident Suppliers of Services Other Than Those Covered by Other Rates of Withholding,2,,,WC 157,WC 157,Income Payments Made by the Government and Government-Owned and Controlled Corporations (GOCCS) to Its Local/Resident Suppliers of Services Other Than Those Covered by Other Rates of Withholding,25,ACTIVE
PH-TAX-0091,Purchases,EWT,WC 158,WC 158 | Income Payment Made by Top Withholding Agents to Their Local/Resident Supplier of Goods Other Than Those Covered by Other Rates of Withholding Tax,1,,,WC 158,WC 158,Income Payment Made by Top Withholding Agents to Their Local/Resident Supplier of Goods Other Than Those Covered by Other Rates of Withholding Tax,50,ACTIVE
PH-TAX-0092,Purchases,EWT,WC 160,WC 160 | Income Payment Made by Top Withholding Agents to Their Local/Resident Supplier of Services Other Than Those Covered by Other Rates of Withholding Tax,2,,,WC 160,WC 160,Income Payment Made by Top Withholding Agents to Their Local/Resident Supplier of Services Other Than Those Covered by Other Rates of Withholding Tax,50,ACTIVE
PH-TAX-0093,Purchases,EWT,WC 161,WC 161 | Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Saving Deposit,20,,,WC 161,WC 161,Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Saving Deposit,,ACTIVE
PH-TAX-0094,Purchases,EWT,WC 162,WC 162 | Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Government Securities,20,,,WC 162,WC 162,Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Government Securities,,ACTIVE
PH-TAX-0095,Purchases,EWT,WC 163,WC 163 | Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Deposits Substitutes/Others,20,,,WC 163,WC 163,Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Deposits Substitutes/Others,,ACTIVE
PH-TAX-0096,Purchases,EWT,WC 170,WC 170 | Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Foreign Currency Deposits,7.5,,,WC 170,WC 170,Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Foreign Currency Deposits,,ACTIVE
PH-TAX-0097,Purchases,EWT,WC 180,WC 180 | All Others - Interest on foreign loans payable to NRFCs,20,,,WC 180,WC 180,All Others - Interest on foreign loans payable to NRFCs,,ACTIVE
PH-TAX-0098,Purchases,EWT,WC 190,WC 190 | All Others - Interest and other income payments on foreign currency transaction/loans payable to OBUs,10,,,WC 190,WC 190,All Others - Interest and other income payments on foreign currency transaction/loans payable to OBUs,,ACTIVE
PH-TAX-0099,Purchases,EWT,WC 191,WC 191 | All Others - Interest and other income payments on foreign currency transaction/loans payable to FCDUs,10,,,WC 191,WC 191,All Others - Interest and other income payments on foreign currency transaction/loans payable to FCDUs,,ACTIVE
PH-TAX-0100,Purchases,EWT,WC 212,WC 212 | All Others - Cash dividend payment by domestic corporation to citizen & resident aliens/NRFCs,30,,,WC 212,WC 212,All Others - Cash dividend payment by domestic corporation to citizen & resident aliens/NRFCs,,ACTIVE
PH-TAX-0101,Purchases,EWT,WC 213,WC 213 | All Others - Property dividend payment by domestic corporation to citizens & resident aliens/NRFCs,30,,,WC 213,WC 213,All Others - Property dividend payment by domestic corporation to citizens & resident aliens/NRFCs,,ACTIVE
PH-TAX-0102,Purchases,EWT,WC 222,WC 222 | All Others - Cash dividend payment by domestic corp. to NRFCs whose countries allowed tax deemed paid credit,15,,,WC 222,WC 222,All Others - Cash dividend payment by domestic corp. to NRFCs whose countries allowed tax deemed paid credit,,ACTIVE
PH-TAX-0103,Purchases,EWT,WC 223,WC 223 | All Others - Property dividend payment by domestic corp. to NRFCs whose countries allowed tax deemed paid credit,15,,,WC 223,WC 223,All Others - Property dividend payment by domestic corp. to NRFCs whose countries allowed tax deemed paid credit,,ACTIVE
PH-TAX-0104,Purchases,EWT,WC 230,WC 230 | All Others - On other payments to NRFC,30,,,WC 230,WC 230,All Others - On other payments to NRFC,,ACTIVE
PH-TAX-0105,Purchases,EWT,WC 250,"WC 250 | All Others - Other royalty payments to citizens, resident aliens and NRAETB (other than WI380 and WI 341)/domestic and resident foreign corporation",20,,,WC 250,WC 250,"All Others - Other royalty payments to citizens, resident aliens and NRAETB (other than WI380 and WI 341)/domestic and resident foreign corporation",,ACTIVE
PH-TAX-0106,Purchases,EWT,WC 280,WC 280 | All Others - Branch profit remittances by all corporations except PEZA/SBMA/CDA registered,15,,,WC 280,WC 280,All Others - Branch profit remittances by all corporations except PEZA/SBMA/CDA registered,,ACTIVE
PH-TAX-0107,Purchases,EWT,WC 290,"WC 290 | All Others - On the gross rentals, lease and charter fees derived by non-resident owner or lessor of foreign vessels",4.5,,,WC 290,WC 290,"All Others - On the gross rentals, lease and charter fees derived by non-resident owner or lessor of foreign vessels",,ACTIVE
PH-TAX-0108,Purchases,EWT,WC 300,"WC 300 | All Others - On the gross rentals, lease and charter fees derived by non-resident lessor of aircraft, machineries and other equipment",7.5,,,WC 300,WC 300,"All Others - On the gross rentals, lease and charter fees derived by non-resident lessor of aircraft, machineries and other equipment",,ACTIVE
PH-TAX-0109,Purchases,EWT,WC 310,WC 310 | All Others - Payment to Oil Exploration Service Contractors/Sub-Contractors,8,,,WC 310,WC 310,All Others - Payment to Oil Exploration Service Contractors/Sub-Contractors,,ACTIVE
PH-TAX-0110,Purchases,EWT,WC 340,"WC 340 | All Others - Payments to non-resident individual/foreign corporate cinematographic film owners, lessors or distributors",25,,,WC 340,WC 340,"All Others - Payments to non-resident individual/foreign corporate cinematographic film owners, lessors or distributors",,ACTIVE
PH-TAX-0111,Purchases,EWT,WC 390,WC 390 | All Others - Payments to taxpayer enjoying Preferential Tax Rates/Tax Treaty Rates,5,,,WC 390,WC 390,All Others - Payments to taxpayer enjoying Preferential Tax Rates/Tax Treaty Rates,,ACTIVE
PH-TAX-0112,Purchases,EWT,WC 410,WC 410 | All Others - Informer's cash reward to individuals/juridical person,10,,,WC 410,WC 410,All Others - Informer's cash reward to individuals/juridical person,,ACTIVE
PH-TAX-0113,Purchases,EWT,WC 440,WC 440 | Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Preterminated Long Term Deposit - Less than three (3) years,20,,,WC 440,WC 440,Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Preterminated Long Term Deposit - Less than three (3) years,,ACTIVE
