sourceKey,transactionType,taxType,taxCode,taxDescription,taxRate,taxExempt,taxAlias,atc,officialAtcCode,natureOfIncome,sortOrder,status
PH-TAX-0204,Purchases,EWT,WI 640,WI 640 | Income Payments Made by the Government and Government-Owned and Controlled Corporations (GOCCS) to Its Local/Resident Suppliers of Goods Other Than Those Covered by Other Rates of Withholding Tax,1,,,WI 640,WI 640,Income Payments Made by the Government and Government-Owned and Controlled Corporations (GOCCS) to Its Local/Resident Suppliers of Goods Other Than Those Covered by Other Rates of Withholding Tax,,ACTIVE
PH-TAX-0205,Purchases,EWT,WI 650,WI 650 | On Gross Amount of Refund Given by Meralco to Customers with Active Contracts as Classified by Meralco,15,,,WI 650,WI 650,On Gross Amount of Refund Given by Meralco to Customers with Active Contracts as Classified by Meralco,,ACTIVE
PH-TAX-0206,Purchases,EWT,WI 651,WI 651 | On Gross Amount of Refund Given by Meralco to Customers with Terminated Contracts as Classified by Meralco,15,,,WI 651,WI 651,On Gross Amount of Refund Given by Meralco to Customers with Terminated Contracts as Classified by Meralco,,ACTIVE
PH-TAX-0207,Purchases,EWT,WI 660,WI 660 | Gross of Interest Refund of Meter Deposit Residential Electricity > 200kW MER Individual,10,,,WI 660,WI 660,Gross of Interest Refund of Meter Deposit Residential Electricity > 200kW MER Individual,,ACTIVE
PH-TAX-0208,Purchases,EWT,WI 661,WI 661 | Gross of Interest Refund of Meter Deposit Nonresidential Electricity > 200kW MER Individual,10,,,WI 661,WI 661,Gross of Interest Refund of Meter Deposit Nonresidential Electricity > 200kW MER Individual,,ACTIVE
PH-TAX-0209,Purchases,EWT,WI 662,WI 662 | Gross of Interest Refund of Meter Deposit Residential Electricity > 200kW DU Individual,10,,,WI 662,WI 662,Gross of Interest Refund of Meter Deposit Residential Electricity > 200kW DU Individual,,ACTIVE
PH-TAX-0210,Purchases,EWT,WI 663,WI 663 | Gross of Interest Refund of Meter Deposit Nonresidential Electricity > 200kW DU Individual,15,,,WI 663,WI 663,Gross of Interest Refund of Meter Deposit Nonresidential Electricity > 200kW DU Individual,,ACTIVE
PH-TAX-0211,Purchases,EWT,WI 680,"WI 680 | Income Payments Made by Political Parties and Candidates of Local and National Elections, Individual",5,,,WI 680,WI 680,"Income Payments Made by Political Parties and Candidates of Local and National Elections, Individual",,ACTIVE
PH-TAX-0212,Purchases,EWT,WI 710,WI 710 | Interest Income Derived from Any Other Debt Instruments Not Within the Coverage of Deposit Substitutes and Revenue Regulations No. 14-2012,15,,,WI 710,WI 710,Interest Income Derived from Any Other Debt Instruments Not Within the Coverage of Deposit Substitutes and Revenue Regulations No. 14-2012,,ACTIVE
PH-TAX-0213,Purchases,EWT,WI 720,WI 720 | Income Payments on Locally Produced Raw Sugar,1,,,WI 720,WI 720,Income Payments on Locally Produced Raw Sugar,,ACTIVE
PH-TAX-0214,Purchases,EWT,WV 010,WV 010 | VAT Withholding on Purchases of Goods - Government Withholding Agent,5,,,WV 010,WV 010,VAT Withholding on Purchases of Goods - Government Withholding Agent,,ACTIVE
PH-TAX-0215,Purchases,EWT,WV 012,WV 012 | VAT Withholding on Purchase of Goods (with waiver of privilege to claim input tax credits),10,,,WV 012,WV 012,VAT Withholding on Purchase of Goods (with waiver of privilege to claim input tax credits),,ACTIVE
PH-TAX-0216,Purchases,EWT,WV 014,WV 014 | VAT Withholding on Purchase of Goods (with waiver of privilege to claim input tax credits),12,,,WV 014,WV 014,VAT Withholding on Purchase of Goods (with waiver of privilege to claim input tax credits),,ACTIVE
PH-TAX-0217,Purchases,EWT,WV 020,WV 020 | VAT Withholding on Purchases of Services - Government Withholding Agent,5,,,WV 020,WV 020,VAT Withholding on Purchases of Services - Government Withholding Agent,,ACTIVE
PH-TAX-0218,Purchases,EWT,WV 022,WV 022 | VAT Withholding on Purchase of Services (with waiver of privilege to claim input tax credits),10,,,WV 022,WV 022,VAT Withholding on Purchase of Services (with waiver of privilege to claim input tax credits),,ACTIVE
PH-TAX-0219,Purchases,EWT,WV 024,WV 024 | VAT Withholding on Purchase of Services (with waiver of privilege to claim input tax credits),12,,,WV 024,WV 024,VAT Withholding on Purchase of Services (with waiver of privilege to claim input tax credits),,ACTIVE
PH-TAX-0220,Purchases,EWT,WV 030,WV 030 | VAT Withholding on Purchases of Government Public Work Contracts,5,,,WV 030,WV 030,VAT Withholding on Purchases of Government Public Work Contracts,,ACTIVE
PH-TAX-0221,Purchases,EWT,WV 040,WV 040 | VAT Withholding on Non-residents - Government withholding agent,12,,,WV 040,WV 040,VAT Withholding on Non-residents - Government withholding agent,,ACTIVE
PH-TAX-0222,Purchases,EWT,WV 050,WV 050 | VAT Withholding on Non-residents - Private withholding agent,12,,,WV 050,WV 050,VAT Withholding on Non-residents - Private withholding agent,,ACTIVE
PH-TAX-0223,Purchases,EWT,MC021,MC021 | VAT Exempt Zero Rated,0,,,MC021,MC021,VAT Exempt Zero Rated,,ACTIVE
PH-TAX-0224,Purchases,EWT,W1,Withholding Tax 1%,1,,WC 158,W1,WC 158,Purchase of local goods,,ACTIVE
PH-TAX-0225,Purchases,EWT,W2,Withholding Tax 2%,2,,WC 120,W2,WC 120,Prime contractor/subcontractors (supplier of services),,ACTIVE
PH-TAX-0226,Purchases,EWT,W5,Withholding Tax 5%,5,,WC 100,W5,WC 100,Rental Fees,,ACTIVE
PH-TAX-0227,Purchases,EWT,W10,Withholding Tax 10%,10,,WC 140,W10,WC 140,"Professional/talent fees paid to juridical persons/individuals (lawyers, CPAs, etc.)",25,ACTIVE
PH-TAX-0228,Purchases,EWT,W15,Withholding Tax 15%,15,,WC130,W15,WC 130,income distribution to beneficiaries of estates & trusts,25,ACTIVE
PH-TAX-0261,Purchases,INPUT VAT,V6,Non-VAT,0,,,,,,10,INACTIVE
PH-TAX-0229,Purchases,FWT,WC 180,WC 180 | Interest on Foreign loans payable to Non-Resident Foreign Corporation (NRFCs),20,,,WC 180,WC 180,Interest on Foreign loans payable to Non-Resident Foreign Corporation (NRFCs),,ACTIVE
PH-TAX-0230,Purchases,FWT,WC 190,WC 190 | Interest and other income payments on foreign currency transactions/loans payable of Offshore Banking Units (OBUs),0,,,WC 190,WC 190,Interest and other income payments on foreign currency transactions/loans payable of Offshore Banking Units (OBUs),,ACTIVE
PH-TAX-0231,Purchases,FWT,WC 191,WC 191 | Interest and other income payments on foreign currency transactions/loans payable of Foreign Currency Deposits Units (FCDUs),0,,,WC 191,WC 191,Interest and other income payments on foreign currency transactions/loans payable of Foreign Currency Deposits Units (FCDUs),,ACTIVE
PH-TAX-0232,Purchases,FWT,WC 212,WC 212 | Cash dividend payment by domestic corporation to citizens and residents aliens/NRFCs,25,,,WC 212,WC 212,Cash dividend payment by domestic corporation to citizens and residents aliens/NRFCs,,ACTIVE
PH-TAX-0233,Purchases,FWT,WC 213,WC 213 | Property dividend payment by domestic corporation to citizens and resident aliens/NRFCs,25,,,WC 213,WC 213,Property dividend payment by domestic corporation to citizens and resident aliens/NRFCs,,ACTIVE
PH-TAX-0234,Purchases,FWT,WC 222,WC 222 | Cash dividend payment by domestic corporation to NRFCs whose countries allowed tax deemed paid credit (subject to tax sparing rule),0,,,WC 222,WC 222,Cash dividend payment by domestic corporation to NRFCs whose countries allowed tax deemed paid credit (subject to tax sparing rule),,ACTIVE
PH-TAX-0235,Purchases,FWT,WC 223,WC 223 | Property dividend payment by domestic corporation to NRFCs whose countries allowed tax deemed paid credit (subject to tax sparing rule),15,,,WC 223,WC 223,Property dividend payment by domestic corporation to NRFCs whose countries allowed tax deemed paid credit (subject to tax sparing rule),,ACTIVE
PH-TAX-0236,Purchases,FWT,WC 230,WC 230 | On other payments to NRFCs,25,,,WC 230,WC 230,On other payments to NRFCs,,ACTIVE
PH-TAX-0237,Purchases,FWT,WC 250,"WC 250 | All kinds of royalty payments to citizens, resident aliens and NRAETB (other than WI380 and WI341), domestic and resident foreign corporations",20,,,WC 250,WC 250,"All kinds of royalty payments to citizens, resident aliens and NRAETB (other than WI380 and WI341), domestic and resident foreign corporations",,ACTIVE
PH-TAX-0238,Purchases,FWT,WC 280,WC 280 | Branch profit remittance by all corporations except PEZA/SBMA/CDA registered,15,,,WC 280,WC 280,Branch profit remittance by all corporations except PEZA/SBMA/CDA registered,,ACTIVE
PH-TAX-0239,Purchases,FWT,WC 290,"WC 290 | On the gross rentals, lease and charter fees derived by non-resident owner or lessor of foreign vessels",4.5,,,WC 290,WC 290,"On the gross rentals, lease and charter fees derived by non-resident owner or lessor of foreign vessels",,ACTIVE
