sourceKey,transactionType,taxType,taxCode,taxDescription,taxRate,taxAlias,atc,officialAtcCode,natureOfIncome
PH-TAX-0097,Purchases,EWT,WC 180,WC 180 | All Others - Interest on foreign loans payable to NRFCs,20,,WC 180,WC 180,All Others - Interest on foreign loans payable to NRFCs
PH-TAX-0098,Purchases,EWT,WC 190,WC 190 | All Others - Interest and other income payments on foreign currency transaction /loans payable to OBUs,10,,WC 190,WC 190,All Others - Interest and other income payments on foreign currency transaction /loans payable to OBUs
PH-TAX-0099,Purchases,EWT,WC 191,WC 191 | All Others - Interest and other income payments on foreign currency transaction /loans payable to FCDUs,10,,WC 191,WC 191,All Others - Interest and other income payments on foreign currency transaction /loans payable to FCDUs
PH-TAX-0100,Purchases,EWT,WC 212,WC 212 | All Others - Cash dividend payment by domestic corporation to citizen & resident aliens/NRFC's,30,,WC 212,WC 212,All Others - Cash dividend payment by domestic corporation to citizen & resident aliens/NRFC's
PH-TAX-0101,Purchases,EWT,WC 213,WC 213 | All Others - Property dividend payment by domestic corporation to citizens & resident aliens/NRFC's,30,,WC 213,WC 213,All Others - Property dividend payment by domestic corporation to citizens & resident aliens/NRFC's
PH-TAX-0102,Purchases,EWT,WC 222,WC 222 | All Others - Cash dividend payment by domestic corp. to NRFCs whose countries allowed tax deemed paid credit,15,,WC 222,WC 222,All Others - Cash dividend payment by domestic corp. to NRFCs whose countries allowed tax deemed paid credit
PH-TAX-0103,Purchases,EWT,WC 223,WC 223 | All Others - Property dividend payment by domestic corp. to NRFCs whose countries allowed tax deemed paid credit,15,,WC 223,WC 223,All Others - Property dividend payment by domestic corp. to NRFCs whose countries allowed tax deemed paid credit
PH-TAX-0104,Purchases,EWT,WC 230,WC 230 | All Others - On other payments to NRFC,30,,WC 230,WC 230,All Others - On other payments to NRFC
PH-TAX-0105,Purchases,EWT,WC 250,"WC 250 | All Others - Other royalty payments to citizens, resident aliens and NRAETB (other than WI380 and WI 341) /domestic and resident foreign corporation",20,,WC 250,WC 250,"All Others - Other royalty payments to citizens, resident aliens and NRAETB (other than WI380 and WI 341) /domestic and resident foreign corporation"
PH-TAX-0106,Purchases,EWT,WC 280,WC 280 | All Others - Branch profit remittances by all corporations except PEZA/SBMA/CDA registered,15,,WC 280,WC 280,All Others - Branch profit remittances by all corporations except PEZA/SBMA/CDA registered
PH-TAX-0107,Purchases,EWT,WC 290,"WC 290 | All Others - On the gross rentals, lease and charter fees derived by non-resident owner or lessor of foreign vessels",4.5,,WC 290,WC 290,"All Others - On the gross rentals, lease and charter fees derived by non-resident owner or lessor of foreign vessels"
PH-TAX-0108,Purchases,EWT,WC 300,"WC 300 | All Others - On the gross rentals, lease and charter fees derived by non-resident lessor of aircraft, machineries and other equipment",7.5,,WC 300,WC 300,"All Others - On the gross rentals, lease and charter fees derived by non-resident lessor of aircraft, machineries and other equipment"
PH-TAX-0109,Purchases,EWT,WC 310,WC 310 | All Others - Payment to Oil Exploration Service Contractors/Sub-Contractors,8,,WC 310,WC 310,All Others - Payment to Oil Exploration Service Contractors/Sub-Contractors
PH-TAX-0110,Purchases,EWT,WC 340,"WC 340 | All Others - Payments to non-resident individual/foreign corporate cinematographic film owners, lessors or distributors",25,,WC 340,WC 340,"All Others - Payments to non-resident individual/foreign corporate cinematographic film owners, lessors or distributors"
PH-TAX-0111,Purchases,EWT,WC 390,WC 390 | All Others - Payments to taxpayer enjoying Preferential Tax Rates/Tax Treaty Rates,5,,WC 390,WC 390,All Others - Payments to taxpayer enjoying Preferential Tax Rates/Tax Treaty Rates
PH-TAX-0112,Purchases,EWT,WC 410,WC 410 | All Others - Informer's cash reward to individuals/juridical person,10,,WC 410,WC 410,All Others - Informer's cash reward to individuals/juridical person
PH-TAX-0113,Purchases,EWT,WC 440,WC 440 | Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Preterminated Long Term Deposit - Less than three (3) years,20,,WC 440,WC 440,Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Preterminated Long Term Deposit - Less than three (3) years
PH-TAX-0114,Purchases,EWT,WC 515,"WC 515 | COMMISSIONS, REBATES, DISCOUNTS AND OTHER SIMILAR CONSIDERATIONS PAID/ GRANTED TO INDEPENDENT AND/OR EXCLUSIVE SALES REPRESENTATIVES AND MARKETING AGENTS AND SUB-AGENTS OF COMPANIES, INCLUDING MULTI-LEVEL MARKETING COMPANIES - If the current year's gross income does not exceed P720,000",10,,WC 515,WC 515,"COMMISSIONS, REBATES, DISCOUNTS AND OTHER SIMILAR CONSIDERATIONS PAID/ GRANTED TO INDEPENDENT AND/OR EXCLUSIVE SALES REPRESENTATIVES AND MARKETING AGENTS AND SUB-AGENTS OF COMPANIES, INCLUDING MULTI-LEVEL MARKETING COMPANIES - If the current year's gross income does not exceed P720,000"
PH-TAX-0115,Purchases,EWT,WC 516,"WC 516 | COMMISSIONS, REBATES, DISCOUNTS AND OTHER SIMILAR CONSIDERATIONS PAID/ GRANTED TO INDEPENDENT AND/OR EXCLUSIVE SALES REPRESENTATIVES AND MARKETING AGENTS AND SUB-AGENTS OF COMPANIES, INCLUDING MULTI-LEVEL MARKETING COMPANIES - If the current year's gross income exceeds P720,000",15,,WC 516,WC 516,"COMMISSIONS, REBATES, DISCOUNTS AND OTHER SIMILAR CONSIDERATIONS PAID/ GRANTED TO INDEPENDENT AND/OR EXCLUSIVE SALES REPRESENTATIVES AND MARKETING AGENTS AND SUB-AGENTS OF COMPANIES, INCLUDING MULTI-LEVEL MARKETING COMPANIES - If the current year's gross income exceeds P720,000"
PH-TAX-0116,Purchases,EWT,WC 535,WC 535 | PAYMENTS MADE BY PRE-NEED COMPANIES TO FUNERAL PARLORS,1,,WC 535,WC 535,PAYMENTS MADE BY PRE-NEED COMPANIES TO FUNERAL PARLORS
PH-TAX-0117,Purchases,EWT,WC 540,WC 540 | TOLLING FEES PAID TO REFINERIES,5,,WC 540,WC 540,TOLLING FEES PAID TO REFINERIES
