sourceKey,transactionType,taxType,taxCode,taxDescription,taxRate,taxAlias,atc,officialAtcCode,natureOfIncome
PH-TAX-0138,Purchases,EWT,WI 020,"WI 020 | PROFESSIONAL ENTERTAINERS SUCH AS, BUT NOT LIMITED TO ACTORS AND ACTRESSES, SINGERS, LYRICISTS, COMPOSERS, EMCEES - If the current year's gross income does not exceed P3,000,000.00",5,,WI 020,WI 020,"PROFESSIONAL ENTERTAINERS SUCH AS, BUT NOT LIMITED TO ACTORS AND ACTRESSES, SINGERS, LYRICISTS, COMPOSERS, EMCEES - If the current year's gross income does not exceed P3,000,000.00"
PH-TAX-0139,Purchases,EWT,WI 021,"WI 021 | PROFESSIONAL ENTERTAINERS SUCH AS, BUT NOT LIMITED TO ACTORS AND ACTRESSES, SINGERS, LYRICISTS, COMPOSERS, EMCEES - If the current year's gross income exceed P3,000,000.00 or vat registered regardless of amount",10,,WI 021,WI 021,"PROFESSIONAL ENTERTAINERS SUCH AS, BUT NOT LIMITED TO ACTORS AND ACTRESSES, SINGERS, LYRICISTS, COMPOSERS, EMCEES - If the current year's gross income exceed P3,000,000.00 or vat registered regardless of amount"
PH-TAX-0140,Purchases,EWT,WI 030,"WI 030 | PROFESSIONAL ATHLETES INCLUDING BASKETBALL PLAYERS, PELOTARIS AND JOCKEYS - If the current year's gross income does not exceed P3,000,000.00",5,,WI 030,WI 030,"PROFESSIONAL ATHLETES INCLUDING BASKETBALL PLAYERS, PELOTARIS AND JOCKEYS - If the current year's gross income does not exceed P3,000,000.00"
PH-TAX-0141,Purchases,EWT,WI 031,"WI 031 | PROFESSIONAL ATHLETES INCLUDING BASKETBALL PLAYERS, PELOTARIS AND JOCKEYS - If the current year's gross income exceeds P3,000,000.00 or vat registered regardless of amount",10,,WI 031,WI 031,"PROFESSIONAL ATHLETES INCLUDING BASKETBALL PLAYERS, PELOTARIS AND JOCKEYS - If the current year's gross income exceeds P3,000,000.00 or vat registered regardless of amount"
PH-TAX-0142,Purchases,EWT,WI 040,"WI 040 | ALL DIRECTORS AND PRODUCERS INVOLVED IN MOVIES, STAGE, RADIO, TELEVISION AND MUSICAL PRODUCTIONS - If the current year's gross income does not exceed P3,000,000.00",5,,WI 040,WI 040,"ALL DIRECTORS AND PRODUCERS INVOLVED IN MOVIES, STAGE, RADIO, TELEVISION AND MUSICAL PRODUCTIONS - If the current year's gross income does not exceed P3,000,000.00"
PH-TAX-0143,Purchases,EWT,WI 041,"WI 041 | ALL DIRECTORS AND PRODUCERS INVOLVED IN MOVIES, STAGE, RADIO, TELEVISION AND MUSICAL PRODUCTIONS - If the current year's gross income exceeds P3,000,000.00 or vat registered regardless of amount",10,,WI 041,WI 041,"ALL DIRECTORS AND PRODUCERS INVOLVED IN MOVIES, STAGE, RADIO, TELEVISION AND MUSICAL PRODUCTIONS - If the current year's gross income exceeds P3,000,000.00 or vat registered regardless of amount"
PH-TAX-0144,Purchases,EWT,WI 050,"WI 050 | MANAGEMENT AND TECHNICAL CONSULTANTS - If the current year's gross income does not exceed P3,000,000.00",5,,WI 050,WI 050,"MANAGEMENT AND TECHNICAL CONSULTANTS - If the current year's gross income does not exceed P3,000,000.00"
PH-TAX-0145,Purchases,EWT,WI 051,"WI 051 | MANAGEMENT AND TECHNICAL CONSULTANTS - If the current year's gross income exceeds P3,000,000.00 or vat registered regardless of amount",10,,WI 051,WI 051,"MANAGEMENT AND TECHNICAL CONSULTANTS - If the current year's gross income exceeds P3,000,000.00 or vat registered regardless of amount"
PH-TAX-0146,Purchases,EWT,WI 060,"WI 060 | BUSINESS AND BOOKKEEPING AGENTS AND AGENCIES - If the current year's gross income does not exceed P3,000,000.00",5,,WI 060,WI 060,"BUSINESS AND BOOKKEEPING AGENTS AND AGENCIES - If the current year's gross income does not exceed P3,000,000.00"
PH-TAX-0147,Purchases,EWT,WI 061,"WI 061 | BUSINESS AND BOOKKEEPING AGENTS AND AGENCIES - If the current year's gross income exceeds P3,000,000.00 or vat registered regardless of amount",10,,WI 061,WI 061,"BUSINESS AND BOOKKEEPING AGENTS AND AGENCIES - If the current year's gross income exceeds P3,000,000.00 or vat registered regardless of amount"
PH-TAX-0148,Purchases,EWT,WI 070,"WI 070 | INSURANCE AGENTS AND INSURANCE ADJUSTERS - If the current year's gross income does not exceed P3,000,000.00",5,,WI 070,WI 070,"INSURANCE AGENTS AND INSURANCE ADJUSTERS - If the current year's gross income does not exceed P3,000,000.00"
PH-TAX-0149,Purchases,EWT,WI 071,"WI 071 | INSURANCE AGENTS AND INSURANCE ADJUSTERS - If the current year's gross income exceeds P3,000,000.00 or vat registered regardless of amount",10,,WI 071,WI 071,"INSURANCE AGENTS AND INSURANCE ADJUSTERS - If the current year's gross income exceeds P3,000,000.00 or vat registered regardless of amount"
PH-TAX-0150,Purchases,EWT,WI 080,"WI 080 | OTHER RECIPIENTS OF TALENT FEES - If the current year's gross income does not exceed P3,000,000.00",5,,WI 080,WI 080,"OTHER RECIPIENTS OF TALENT FEES - If the current year's gross income does not exceed P3,000,000.00"
PH-TAX-0151,Purchases,EWT,WI 081,"WI 081 | OTHER RECIPIENTS OF TALENT FEES - If the current year's gross income exceeds P3,000,000.00 or vat registered regardless of amount",10,,WI 081,WI 081,"OTHER RECIPIENTS OF TALENT FEES - If the current year's gross income exceeds P3,000,000.00 or vat registered regardless of amount"
PH-TAX-0152,Purchases,EWT,WI 090,"WI 090 | FEES OF DIRECTORS WHO ARE NOT EMPLOYEES OF THE COMPANY - If the current year's gross income does not exceed P3,000,000.00",5,,WI 090,WI 090,"FEES OF DIRECTORS WHO ARE NOT EMPLOYEES OF THE COMPANY - If the current year's gross income does not exceed P3,000,000.00"
PH-TAX-0153,Purchases,EWT,WI 091,"WI 091 | FEES OF DIRECTORS WHO ARE NOT EMPLOYEES OF THE COMPANY - If the current year's gross income exceeds P3,000,000.00 or vat registered regardless of amount",10,,WI 091,WI 091,"FEES OF DIRECTORS WHO ARE NOT EMPLOYEES OF THE COMPANY - If the current year's gross income exceeds P3,000,000.00 or vat registered regardless of amount"
PH-TAX-0154,Purchases,EWT,WI 100,"WI 100 | RENTALS : real/personal properties, poles,satellites and transmission facilities, billboards",5,,WI 100,WI 100,"RENTALS : real/personal properties, poles,satellites and transmission facilities, billboards"
PH-TAX-0155,Purchases,EWT,WI 110,WI 110 | CINEMATOGRAPHIC FILM RENTALS,5,,WI 110,WI 110,CINEMATOGRAPHIC FILM RENTALS
PH-TAX-0156,Purchases,EWT,WI 120,WI 120 | INCOME PAYMENTS TO CERTAIN CONTRACTORS,2,,WI 120,WI 120,INCOME PAYMENTS TO CERTAIN CONTRACTORS
PH-TAX-0157,Purchases,EWT,WI 130,WI 130 | INCOME DISTRIBUTION TO THE BENEFICIARIES OF ESTATES AND TRUSTS,15,,WI 130,WI 130,INCOME DISTRIBUTION TO THE BENEFICIARIES OF ESTATES AND TRUSTS
PH-TAX-0158,Purchases,EWT,WI 139,"WI 139 | GROSS COMMISSIONS OR SERVICE FEES OF CUSTOMS, INSURANCE, STOCK, IMMIGRATION AND COMMERCIAL BROKERS, FEES OF AGENTS OF PROFESSIONAL ENTERTAINERS AND REAL ESTATE SERVICE PRACTITIONERS (RESPS), (I.E. REAL ESTATE CONSULTANTS, REAL ESTATE APPRAISERS AND REAL ESTATE BROKERS) - If the current year's gross income does not exceed P3,000,000.00",5,,WI 139,WI 139,"GROSS COMMISSIONS OR SERVICE FEES OF CUSTOMS, INSURANCE, STOCK, IMMIGRATION AND COMMERCIAL BROKERS, FEES OF AGENTS OF PROFESSIONAL ENTERTAINERS AND REAL ESTATE SERVICE PRACTITIONERS (RESPS), (I.E. REAL ESTATE CONSULTANTS, REAL ESTATE APPRAISERS AND REAL ESTATE BROKERS) - If the current year's gross income does not exceed P3,000,000.00"
PH-TAX-0159,Purchases,EWT,WI 140,"WI 140 | GROSS COMMISSIONS OR SERVICE FEES OF CUSTOMS, INSURANCE, STOCK, IMMIGRATION AND COMMERCIAL BROKERS, FEES OF AGENTS OF PROFESSIONAL ENTERTAINERS AND REAL ESTATE SERVICE PRACTITIONERS (RESPS), (I.E. REAL ESTATE CONSULTANTS, REAL ESTATE APPRAISERS AND REAL ESTATE BROKERS) - If the current year's gross income exceeds P3,000,000.00 or vat registered regardless of amount",10,,WI 140,WI 140,"GROSS COMMISSIONS OR SERVICE FEES OF CUSTOMS, INSURANCE, STOCK, IMMIGRATION AND COMMERCIAL BROKERS, FEES OF AGENTS OF PROFESSIONAL ENTERTAINERS AND REAL ESTATE SERVICE PRACTITIONERS (RESPS), (I.E. REAL ESTATE CONSULTANTS, REAL ESTATE APPRAISERS AND REAL ESTATE BROKERS) - If the current year's gross income exceeds P3,000,000.00 or vat registered regardless of amount"
PH-TAX-0160,Purchases,EWT,WI 150,"WI 150 | PROFESSIONAL FEES PAID TO MEDICAL PRACTITIONERS (INCLUDES DOCTORS OF MEDICINE, DOCTORS OF VETERINARY SCIENCE AND DENTISTS) BY HOSPITALS AND CLINICS OR PAID DIRECTLY BY HEALTH MAINTENANCE ORGANIZATIONS (HMOS) AND/OR SIMILAR ESTABLISHMENTS - If the current year's gross income exceeds P3,000,000.00 or vat registered regardless of amount",10,,WI 150,WI 150,"PROFESSIONAL FEES PAID TO MEDICAL PRACTITIONERS (INCLUDES DOCTORS OF MEDICINE, DOCTORS OF VETERINARY SCIENCE AND DENTISTS) BY HOSPITALS AND CLINICS OR PAID DIRECTLY BY HEALTH MAINTENANCE ORGANIZATIONS (HMOS) AND/OR SIMILAR ESTABLISHMENTS - If the current year's gross income exceeds P3,000,000.00 or vat registered regardless of amount"
PH-TAX-0161,Purchases,EWT,WI 151,"WI 151 | PROFESSIONAL FEES PAID TO MEDICAL PRACTITIONERS (INCLUDES DOCTORS OF MEDICINE, DOCTORS OF VETERINARY SCIENCE AND DENTISTS) BY HOSPITALS AND CLINICS OR PAID DIRECTLY BY HEALTH MAINTENANCE ORGANIZATIONS (HMOS) AND/OR SIMILAR ESTABLISHMENTS - If the current year's gross income does not exceed P3,000,000.00",5,,WI 151,WI 151,"PROFESSIONAL FEES PAID TO MEDICAL PRACTITIONERS (INCLUDES DOCTORS OF MEDICINE, DOCTORS OF VETERINARY SCIENCE AND DENTISTS) BY HOSPITALS AND CLINICS OR PAID DIRECTLY BY HEALTH MAINTENANCE ORGANIZATIONS (HMOS) AND/OR SIMILAR ESTABLISHMENTS - If the current year's gross income does not exceed P3,000,000.00"
PH-TAX-0162,Purchases,EWT,WI 152,"WI 152 | PAYMENT BY THE GENERAL PROFESSIONAL PARTNERSHIPS (GPPS) TO ITS PARTNERS - If the current year's gross income does not exceed P720,000.00",10,,WI 152,WI 152,"PAYMENT BY THE GENERAL PROFESSIONAL PARTNERSHIPS (GPPS) TO ITS PARTNERS - If the current year's gross income does not exceed P720,000.00"
PH-TAX-0163,Purchases,EWT,WI 153,"WI 153 | PAYMENT BY THE GENERAL PROFESSIONAL PARTNERSHIPS (GPPS) TO ITS PARTNERS - If the current year's gross income exceeds P720,000.00",15,,WI 153,WI 153,"PAYMENT BY THE GENERAL PROFESSIONAL PARTNERSHIPS (GPPS) TO ITS PARTNERS - If the current year's gross income exceeds P720,000.00"
PH-TAX-0164,Purchases,EWT,WI 156,WI 156 | INCOME PAYMENTS MADE BY CREDIT CARD COMPANIES,0.5,,WI 156,WI 156,INCOME PAYMENTS MADE BY CREDIT CARD COMPANIES
PH-TAX-0165,Purchases,EWT,WI 157,WI 157 | INCOME PAYMENTS MADE BY THE GOVERNMENT AND GOVERNMENT-OWNED AND CONTROLLED CORPORATIONS (GOCCS) TO ITS LOCAL/RESIDENT SUPPLIERS OF SERVICES OTHER THAN THOSE COVERED BY OTHER RATES OF WITHHOLDING TAX,2,,WI 157,WI 157,INCOME PAYMENTS MADE BY THE GOVERNMENT AND GOVERNMENT-OWNED AND CONTROLLED CORPORATIONS (GOCCS) TO ITS LOCAL/RESIDENT SUPPLIERS OF SERVICES OTHER THAN THOSE COVERED BY OTHER RATES OF WITHHOLDING TAX
PH-TAX-0166,Purchases,EWT,WI 158,WI 158 | INCOME PAYMENT MADE BY TOP WITHHOLDING AGENTS TO THEIR LOCAL/RESIDENT SUPPLIER OF GOODS OTHER THAN THOSE COVERED BY OTHER RATES OF WITHHOLDING TAX,1,,WI 158,WI 158,INCOME PAYMENT MADE BY TOP WITHHOLDING AGENTS TO THEIR LOCAL/RESIDENT SUPPLIER OF GOODS OTHER THAN THOSE COVERED BY OTHER RATES OF WITHHOLDING TAX
PH-TAX-0167,Purchases,EWT,WI 159,"WI 159 | ADDITIONAL INCOME PAYMENTS TO GOVERNMENT PERSONNEL FROM IMPORTERS, SHIPPING AND AIRLINE COMPANIES OR THEIR AGENTS FOR OVERTIME SERVICES",15,,WI 159,WI 159,"ADDITIONAL INCOME PAYMENTS TO GOVERNMENT PERSONNEL FROM IMPORTERS, SHIPPING AND AIRLINE COMPANIES OR THEIR AGENTS FOR OVERTIME SERVICES"
PH-TAX-0168,Purchases,EWT,WI 160,WI 160 | INCOME PAYMENT MADE BY TOP WITHHOLDING AGENTS TO THEIR LOCAL/RESIDENT SUPPLIER OF SERVICES OTHER THAN THOSE COVERED BY OTHER RATES OF WITHHOLDING TAX,2,,WI 160,WI 160,INCOME PAYMENT MADE BY TOP WITHHOLDING AGENTS TO THEIR LOCAL/RESIDENT SUPPLIER OF SERVICES OTHER THAN THOSE COVERED BY OTHER RATES OF WITHHOLDING TAX
PH-TAX-0169,Purchases,EWT,WI 161,WI 161 | Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Saving Deposit,20,,WI 161,WI 161,Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Saving Deposit
PH-TAX-0170,Purchases,EWT,WI 162,WI 162 | Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Government Securities,20,,WI 162,WI 162,Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Government Securities
PH-TAX-0171,Purchases,EWT,WI 163,WI 163 | Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Deposits Substitutes/Others,20,,WI 163,WI 163,Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Deposits Substitutes/Others
PH-TAX-0172,Purchases,EWT,WI 170,WI 170 | Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Foreign Currency Deposits,7.5,,WI 170,WI 170,Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Foreign Currency Deposits
PH-TAX-0173,Purchases,EWT,WI 202,WI 202 | All Others - Cash dividend payment by domestic corporation to citizen & resident aliens/NRFC's,10,,WI 202,WI 202,All Others - Cash dividend payment by domestic corporation to citizen & resident aliens/NRFC's
PH-TAX-0174,Purchases,EWT,WI 203,WI 203 | All Others - Property dividend payment by domestic corporation to citizens & resident aliens/NRFC's,10,,WI 203,WI 203,All Others - Property dividend payment by domestic corporation to citizens & resident aliens/NRFC's
PH-TAX-0175,Purchases,EWT,WI 224,WI 224 | All Others - Cash dividend payment by domestic corporation to NRAETB,20,,WI 224,WI 224,All Others - Cash dividend payment by domestic corporation to NRAETB
PH-TAX-0176,Purchases,EWT,WI 225,WI 225 | All Others - Property dividend payment by domestic corporation to NRAETB,20,,WI 225,WI 225,All Others - Property dividend payment by domestic corporation to NRAETB
PH-TAX-0177,Purchases,EWT,WI 226,"WI 226 | All Others - Share of a NRAETB in the distributable net income after tax of a partnership (except General Professional Partnership) of which he is a partner, or share in the net income after tax of an association, a joint account or a joint venture taxable as a corp., of which he is a member or a co-venturer",20,,WI 226,WI 226,"All Others - Share of a NRAETB in the distributable net income after tax of a partnership (except General Professional Partnership) of which he is a partner, or share in the net income after tax of an association, a joint account or a joint venture taxable as a corp., of which he is a member or a co-venturer"
PH-TAX-0178,Purchases,EWT,WI 240,"WI 240 | All Others - Distributive share of individual partners in a taxable partnership, association, a joint account or a joint venture or consortium",10,,WI 240,WI 240,"All Others - Distributive share of individual partners in a taxable partnership, association, a joint account or a joint venture or consortium"
PH-TAX-0179,Purchases,EWT,WI 250,"WI 250 | All Others - Other royalty payments to citizens, resident aliens and NRAETB (other than WI380 and WI 341) /domestic and resident foreign corporation",20,,WI 250,WI 250,"All Others - Other royalty payments to citizens, resident aliens and NRAETB (other than WI380 and WI 341) /domestic and resident foreign corporation"
PH-TAX-0180,Purchases,EWT,WI 260,"WI 260 | All Others - On prizes exceeding P10,000 & other winnings paid to individuals",20,,WI 260,WI 260,"All Others - On prizes exceeding P10,000 & other winnings paid to individuals"
PH-TAX-0181,Purchases,EWT,WI 310,WI 310 | All Others - Payment to Oil Exploration Service Contractors/Sub-Contractors,8,,WI 310,WI 310,All Others - Payment to Oil Exploration Service Contractors/Sub-Contractors
PH-TAX-0182,Purchases,EWT,WI 320,"WI 320 | All Others - Payment to Filipinos or Alien individuals employed by Foreign Petroleum Service Contractors/Subcontractors, Offshore Banking Units and Regional or Area Headquarters and Regional Operating Headquarters of Multinational Companies occupying executive/managerial and technical positions",15,,WI 320,WI 320,"All Others - Payment to Filipinos or Alien individuals employed by Foreign Petroleum Service Contractors/Subcontractors, Offshore Banking Units and Regional or Area Headquarters and Regional Operating Headquarters of Multinational Companies occupying executive/managerial and technical positions"
PH-TAX-0183,Purchases,EWT,WI 330,WI 330 | All Others - Payments to Non-Resident Alien Not Engaged in Trade or Business (NRAETB) except on sale of shares in domestic corporation and real property,25,,WI 330,WI 330,All Others - Payments to Non-Resident Alien Not Engaged in Trade or Business (NRAETB) except on sale of shares in domestic corporation and real property
PH-TAX-0184,Purchases,EWT,WI 340,"WI 340 | All Others - Payments to non-resident individual/foreign corporate cinematographic film owners, lessors or distributors",25,,WI 340,WI 340,"All Others - Payments to non-resident individual/foreign corporate cinematographic film owners, lessors or distributors"
PH-TAX-0185,Purchases,EWT,WI 341,WI 341 | All Others - Royalties paid to NRAETB on cinematographic films and similar works,25,,WI 341,WI 341,All Others - Royalties paid to NRAETB on cinematographic films and similar works
PH-TAX-0186,Purchases,EWT,WI 350,"WI 350 | All Others - Final Tax on interest or other payments upon tax-free covenant bonds, mortgages, deeds of trust or other obligations under Sec. 57C of the National Internal Revenue Code of 1997",30,,WI 350,WI 350,"All Others - Final Tax on interest or other payments upon tax-free covenant bonds, mortgages, deeds of trust or other obligations under Sec. 57C of the National Internal Revenue Code of 1997"
PH-TAX-0187,Purchases,EWT,WI 380,"WI 380 | All Others - Royalties paid to citizens, resident aliens & non-resident alien engaged in trade or business (NRAETB) on books, other literary works & musical compositions",10,,WI 380,WI 380,"All Others - Royalties paid to citizens, resident aliens & non-resident alien engaged in trade or business (NRAETB) on books, other literary works & musical compositions"
PH-TAX-0188,Purchases,EWT,WI 410,WI 410 | All Others - Informer's cash reward to individuals/juridical person,10,,WI 410,WI 410,All Others - Informer's cash reward to individuals/juridical person
PH-TAX-0189,Purchases,EWT,WI 440,WI 440 | Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Preterminated Long Term Deposit - Less than three (3) years,20,,WI 440,WI 440,Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Preterminated Long Term Deposit - Less than three (3) years
PH-TAX-0190,Purchases,EWT,WI 441,WI 441 | Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Preterminated Long Term Deposit - Three (3) years to less than four (4) years,12,,WI 441,WI 441,Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Preterminated Long Term Deposit - Three (3) years to less than four (4) years
PH-TAX-0191,Purchases,EWT,WI 442,WI 442 | Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Preterminated Long Term Deposit - Four (4) years to less than five (5) years,5,,WI 442,WI 442,Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Preterminated Long Term Deposit - Four (4) years to less than five (5) years
PH-TAX-0192,Purchases,EWT,WI 515,"WI 515 | COMMISSIONS, REBATES, DISCOUNTS AND OTHER SIMILAR CONSIDERATIONS PAID/GRANTED TO INDEPENDENT AND/OR EXCLUSIVE SALES REPRESENTATIVES AND MARKETING AGENTS AND SUB-AGENTS OF COMPANIES, INCLUDING MULTI-LEVEL MARKETING COMPANIES - If the current year's gross income does not exceed P3,000,000.00",5,,WI 515,WI 515,"COMMISSIONS, REBATES, DISCOUNTS AND OTHER SIMILAR CONSIDERATIONS PAID/GRANTED TO INDEPENDENT AND/OR EXCLUSIVE SALES REPRESENTATIVES AND MARKETING AGENTS AND SUB-AGENTS OF COMPANIES, INCLUDING MULTI-LEVEL MARKETING COMPANIES - If the current year's gross income does not exceed P3,000,000.00"
PH-TAX-0193,Purchases,EWT,WI 516,"WI 516 | COMMISSIONS, REBATES, DISCOUNTS AND OTHER SIMILAR CONSIDERATIONS PAID/GRANTED TO INDEPENDENT AND/OR EXCLUSIVE SALES REPRESENTATIVES AND MARKETING AGENTS AND SUB-AGENTS OF COMPANIES, INCLUDING MULTI-LEVEL MARKETING COMPANIES - If the current year's gross income exceeds P3,000,000.00 or vat registered regardless of amount",10,,WI 516,WI 516,"COMMISSIONS, REBATES, DISCOUNTS AND OTHER SIMILAR CONSIDERATIONS PAID/GRANTED TO INDEPENDENT AND/OR EXCLUSIVE SALES REPRESENTATIVES AND MARKETING AGENTS AND SUB-AGENTS OF COMPANIES, INCLUDING MULTI-LEVEL MARKETING COMPANIES - If the current year's gross income exceeds P3,000,000.00 or vat registered regardless of amount"
PH-TAX-0194,Purchases,EWT,WI 530,WI 530 | GROSS PAYMENTS TO EMBALMERS BY FUNERAL PARLORS,1,,WI 530,WI 530,GROSS PAYMENTS TO EMBALMERS BY FUNERAL PARLORS
PH-TAX-0195,Purchases,EWT,WI 535,WI 535 | PAYMENTS MADE BY PRE-NEED COMPANIES TO FUNERAL PARLORS,1,,WI 535,WI 535,PAYMENTS MADE BY PRE-NEED COMPANIES TO FUNERAL PARLORS
PH-TAX-0196,Purchases,EWT,WI 540,WI 540 | TOLLING FEES PAID TO REFINERIES,5,,WI 540,WI 540,TOLLING FEES PAID TO REFINERIES
PH-TAX-0197,Purchases,EWT,WI 555,WI 555 | SALE OF REAL PROPERTY (ORDINARY ASSETS),1.5,,WI 555,WI 555,SALE OF REAL PROPERTY (ORDINARY ASSETS)
PH-TAX-0198,Purchases,EWT,WI 556,WI 556 | SALE OF REAL PROPERTY (ORDINARY ASSETS),3,,WI 556,WI 556,SALE OF REAL PROPERTY (ORDINARY ASSETS)
PH-TAX-0199,Purchases,EWT,WI 557,WI 557 | SALE OF REAL PROPERTY (ORDINARY ASSETS),5,,WI 557,WI 557,SALE OF REAL PROPERTY (ORDINARY ASSETS)
PH-TAX-0200,Purchases,EWT,WI 558,WI 558 | SALE OF REAL PROPERTY (ORDINARY ASSETS),6,,WI 558,WI 558,SALE OF REAL PROPERTY (ORDINARY ASSETS)
PH-TAX-0201,Purchases,EWT,WI 610,WI 610 | INCOME PAYMENTS MADE TO SUPPLIERS OF AGRICULTURAL PRODUCTS,1,,WI 610,WI 610,INCOME PAYMENTS MADE TO SUPPLIERS OF AGRICULTURAL PRODUCTS
PH-TAX-0202,Purchases,EWT,WI 630,"WI 630 | INCOME PAYMENTS ON PURCHASES OF MINERALS, MINERAL PRODUCTS AND QUARRY RESOURCES",5,,WI 630,WI 630,"INCOME PAYMENTS ON PURCHASES OF MINERALS, MINERAL PRODUCTS AND QUARRY RESOURCES"
PH-TAX-0203,Purchases,EWT,WI 632,"WI 632 | INCOME PAYMENTS ON PURCHASES OF MINERALS, MINERAL PRODUCTS AND QUARRY RESOURCES BY BANGKO SENTRAL NG PILIPINAS (BSP) FROM GOLD MINERS/SUPPLIERS UNDER PD 1899, AS AMENDED BY RA NO. 7076",1,,WI 632,WI 632,"INCOME PAYMENTS ON PURCHASES OF MINERALS, MINERAL PRODUCTS AND QUARRY RESOURCES BY BANGKO SENTRAL NG PILIPINAS (BSP) FROM GOLD MINERS/SUPPLIERS UNDER PD 1899, AS AMENDED BY RA NO. 7076"
PH-TAX-0204,Purchases,EWT,WI 640,WI 640 | INCOME PAYMENTS MADE BY THE GOVERNMENT AND GOVERNMENT-OWNED AND CONTROLLED CORPORATIONS (GOCCS) TO ITS LOCAL/RESIDENT SUPPLIERS OF GOODS OTHER THAN THOSE COVERED BY OTHER RATES OF WITHHOLDING TAX,1,,WI 640,WI 640,INCOME PAYMENTS MADE BY THE GOVERNMENT AND GOVERNMENT-OWNED AND CONTROLLED CORPORATIONS (GOCCS) TO ITS LOCAL/RESIDENT SUPPLIERS OF GOODS OTHER THAN THOSE COVERED BY OTHER RATES OF WITHHOLDING TAX
PH-TAX-0205,Purchases,EWT,WI 650,WI 650 | ON GROSS AMOUNT OF REFUND GIVEN BY MERALCO TO CUSTOMERS WITH ACTIVE CONTRACTS AS CLASSIFIED BY MERALCO,15,,WI 650,WI 650,ON GROSS AMOUNT OF REFUND GIVEN BY MERALCO TO CUSTOMERS WITH ACTIVE CONTRACTS AS CLASSIFIED BY MERALCO
PH-TAX-0206,Purchases,EWT,WI 651,WI 651 | ON GROSS AMOUNT OF REFUND GIVEN BY MERALCO TO CUSTOMERS WITH TERMINATED CONTRACTS AS CLASSIFIED BY MERALCO,15,,WI 651,WI 651,ON GROSS AMOUNT OF REFUND GIVEN BY MERALCO TO CUSTOMERS WITH TERMINATED CONTRACTS AS CLASSIFIED BY MERALCO
PH-TAX-0207,Purchases,EWT,WI 660,WI 660 | GROS OF INT RFUND OF MTER DPOSIT RESID ELECT>200KW MER IND,10,,WI 660,WI 660,GROS OF INT RFUND OF MTER DPOSIT RESID ELECT>200KW MER IND
PH-TAX-0208,Purchases,EWT,WI 661,WI 661 | GROS OF INT RFUND OF MTER DPOSIT NONRS ELECT>200KW MER IND,10,,WI 661,WI 661,GROS OF INT RFUND OF MTER DPOSIT NONRS ELECT>200KW MER IND
PH-TAX-0209,Purchases,EWT,WI 662,WI 662 | GROS OF INT RFUND OF MTER DPOSIT RESID ELECT>200KW DU IND,10,,WI 662,WI 662,GROS OF INT RFUND OF MTER DPOSIT RESID ELECT>200KW DU IND
PH-TAX-0210,Purchases,EWT,WI 663,WI 663 | GROS OF INT RFUND OF MTER DPOSIT NONRS ELECT>200KW DU IND,15,,WI 663,WI 663,GROS OF INT RFUND OF MTER DPOSIT NONRS ELECT>200KW DU IND
PH-TAX-0211,Purchases,EWT,WI 680,"WI 680 | INCOME PAYMENTS MADE BY POLITICAL PARTIES AND CANDIDATES OF LOCAL AND NATIONAL ELECTIONS, INDIVIDUAL",5,,WI 680,WI 680,"INCOME PAYMENTS MADE BY POLITICAL PARTIES AND CANDIDATES OF LOCAL AND NATIONAL ELECTIONS, INDIVIDUAL"
PH-TAX-0212,Purchases,EWT,WI 710,WI 710 | INTEREST INCOME DERIVED FROM ANY OTHER DEBT INSTRUMENTS NOT WITHIN THE COVERAGE OF DEPOSIT SUBSTITUTES AND REVENUE REGULATIONS NO. 14-2012,15,,WI 710,WI 710,INTEREST INCOME DERIVED FROM ANY OTHER DEBT INSTRUMENTS NOT WITHIN THE COVERAGE OF DEPOSIT SUBSTITUTES AND REVENUE REGULATIONS NO. 14-2012
PH-TAX-0213,Purchases,EWT,WI 720,WI 720 | INCOME PAYMENTS ON LOCALLY PRODUCED RAW SUGAR,1,,WI 720,WI 720,INCOME PAYMENTS ON LOCALLY PRODUCED RAW SUGAR
PH-TAX-0214,Purchases,EWT,WV 010,WV 010 | VAT Withholding on Purchases of Goods - Gov.t Withholding Agent,5,,WV 010,WV 010,VAT Withholding on Purchases of Goods - Gov.t Withholding Agent
PH-TAX-0215,Purchases,EWT,WV 012,WV 012 | Vat Withholding on Purchase of Goods (with waiver of privilege to claim input tax credits),10,,WV 012,WV 012,Vat Withholding on Purchase of Goods (with waiver of privilege to claim input tax credits)
